Time Step,Accuracy Base,CO2 Base,Accuracy Quantized,CO2 Quantized,Accuracy Adaptive,CO2 Adaptive
0,0.759,0.1084878888888889,0.723,0.051952333333333336,0.723,0.051952333333333336
1,0.764,0.1084878888888889,0.713,0.051952333333333336,0.713,0.051952333333333336
2,0.789,0.1084878888888889,0.726,0.051952333333333336,0.726,0.051952333333333336
3,0.766,0.1084878888888889,0.731,0.051952333333333336,0.731,0.051952333333333336
4,0.767,0.1084878888888889,0.736,0.051952333333333336,0.736,0.051952333333333336
5,0.78,0.1084878888888889,0.724,0.051952333333333336,0.724,0.051952333333333336
6,0.777,0.0,0.727,0.0,0.777,0.0
7,0.788,0.0,0.744,0.0,0.788,0.0
8,0.771,0.0,0.699,0.0,0.771,0.0
9,0.795,0.0,0.748,0.0,0.795,0.0
10,0.782,0.0,0.748,0.0,0.782,0.0
11,0.777,0.0,0.732,0.0,0.777,0.0
12,0.784,0.1084878888888889,0.72,0.051952333333333336,0.72,0.051952333333333336
13,0.803,0.1084878888888889,0.721,0.051952333333333336,0.721,0.051952333333333336
14,0.764,0.1084878888888889,0.73,0.051952333333333336,0.73,0.051952333333333336
15,0.767,0.1084878888888889,0.714,0.051952333333333336,0.714,0.051952333333333336
16,0.779,0.1084878888888889,0.729,0.051952333333333336,0.729,0.051952333333333336
17,0.767,0.1084878888888889,0.709,0.051952333333333336,0.709,0.051952333333333336
18,0.778,0.0,0.752,0.0,0.778,0.0
19,0.796,0.0,0.735,0.0,0.796,0.0
20,0.754,0.0,0.71,0.0,0.754,0.0
21,0.774,0.0,0.716,0.0,0.774,0.0
22,0.767,0.0,0.72,0.0,0.767,0.0
23,0.764,0.0,0.744,0.0,0.764,0.0

Model,Trade-off Score
Base Model,0.9286953146495813
Compressed Model,0.903474730029768
Adaptive Strategy,0.9329180998986698
